cutoff	recall_rate	FDR
0.0001	0.9716372233703996	6.005792428750361e-05
0.00025	0.9716353036979418	6.005804293754951e-05
0.0005	0.9716364555014165	6.005797174746571e-05
0.001	0.9717977079878722	5.96529776909715e-05
0.005	0.9730631560720584	5.326311545036726e-05
0.01	0.9736421292853328	4.968285775797824e-05
0.025	0.9744130697443879	4.846161938244137e-05
0.05	0.9749962662370696	4.4101450662092717e-05
0.1	0.9756005791267871	4.525463801011815e-05
0.2	0.9762367585793041	5.6629105315192096e-05
0.5	0.9768164996615617	6.877841285362421e-05
