cutoff	recall_rate	FDR
0.0001	0.9739141328667947	2.0761739183810898e-05
0.00025	0.9739132537111358	2.0761757925124073e-05
0.0005	0.9739136932889653	2.0761748554463257e-05
0.001	0.9740051254774914	1.9405925937960608e-05
0.005	0.9750324188649221	1.938548027527382e-05
0.01	0.9754605676708089	2.163005929340004e-05
0.025	0.9761309238607242	1.9813973805025995e-05
0.05	0.976595997204285	1.9804538209930804e-05
0.1	0.9771353592010233	2.0693297440958873e-05
0.2	0.9777850552329542	2.3826360676255052e-05
0.5	0.9788936705188337	1.841093843247474e-05
