cutoff	recall_rate	false_positive
0.0001	0.9699258595392481	5.981298996479691e-05
0.00025	0.9699270046246181	5.941943668799995e-05
0.0005	0.9699273863197414	5.981289581774066e-05
0.001	0.9701037294667109	5.901520152904453e-05
0.005	0.9714396623982974	5.3040955868746026e-05
0.01	0.9720530464614572	4.947383011079389e-05
0.025	0.9728752177570679	4.8255126028265736e-05
0.05	0.973477914356775	4.39126138983423e-05
0.1	0.9741161086029501	4.5059252917586624e-05
0.2	0.9747966710078125	5.6381991122185646e-05
0.5	0.9754367737296041	6.847398868809707e-05
