cutoff	recall_rate	false_positive
0.0001	0.9883643444956265	3.272792133516828e-05
0.00025	0.9883643444956265	3.272792133516828e-05
0.0005	0.9883643444956265	3.272792133516828e-05
0.001	0.9884435976398737	3.272529730932605e-05
0.005	0.9889999870607111	3.1071593858290635e-05
0.01	0.9891390844159205	3.270228817910389e-05
0.025	0.9893719916153408	3.2694590026188364e-05
0.05	0.9895321153149423	3.2689299648099687e-05
0.1	0.9896744474923658	3.431877236848556e-05
0.2	0.9898361886030744	3.758096246478827e-05
0.5	0.9901095310801719	3.59371426704564e-05
