cutoff	recall_rate	FDR
0.0001	0.9696296248397452	9.37065028101422e-05
0.00025	0.9696279231703054	9.370666724692269e-05
0.0005	0.9696255408330897	9.37068974593849e-05
0.001	0.9698256571592127	8.982812300978951e-05
0.005	0.971149896317281	7.604059095803786e-05
0.01	0.9716981742107912	7.634788157392908e-05
0.025	0.9725513912679173	6.64840105954518e-05
0.05	0.9731660342695805	6.784070722188807e-05
0.1	0.973797013297866	8.03765817587095e-05
0.2	0.9743323585036335	9.569889356012808e-05
0.5	0.9746648647121745	9.636447558522217e-05
