cutoff	recall_rate	FDR
0.0001	0.9722253395150646	3.359372779260783e-05
0.00025	0.9722240832925759	3.359377119799264e-05
0.0005	0.9722228270700871	3.3593814603489625e-05
0.001	0.9722986191602404	3.574440083340439e-05
0.005	0.9732994097429266	3.226605817183096e-05
0.01	0.9737089382742518	3.354254420197772e-05
0.025	0.9743667801175154	3.566853360641965e-05
0.05	0.9748441446632319	3.436251942556176e-05
0.1	0.9754383379004	3.6487858986873816e-05
0.2	0.9760685428489116	3.946712517170345e-05
0.5	0.9772033304970621	3.6421958241582134e-05
