cutoff	recall_rate	FDR
0.0001	0.9873866577568513	4.678121827648636e-06
0.00025	0.9873866577568513	4.678121827648636e-06
0.0005	0.9873866577568513	4.678121827648636e-06
0.001	0.9874236109079543	4.677946755610028e-06
0.005	0.9880518144767049	4.67497253453636e-06
0.01	0.9882227228005561	3.1161142055856346e-06
0.025	0.9884767757143891	3.1153133226374244e-06
0.05	0.9886615414699039	3.114731120835994e-06
0.1	0.9888324497937552	3.114192777875529e-06
0.2	0.9890664864174074	3.1134558893353237e-06
0.5	0.9893467144799383	3.1125740209009346e-06
