cutoff	recall_rate	FDR
0.0001	0.9911281024334001	7.346548958626685e-05
0.00025	0.9911281024334001	7.346548958626685e-05
0.0005	0.9911281024334001	7.346548958626685e-05
0.001	0.9911766490685114	7.346189164370983e-05
0.005	0.9921597184295163	4.892726961371921e-05
0.01	0.9923660416287396	3.668827198238963e-05
0.025	0.9928029613447418	2.4448383350650937e-05
0.05	0.9930092845439651	1.2221801249068088e-05
0.1	0.9932034710844104	4.887585532746823e-05
0.2	0.9934947508950785	6.107616197398156e-05
0.5	0.993082104496632	9.775887772808368e-05
