cutoff	recall_rate	false_positive
0.0001	0.971771055307121	9.499916152913954e-06
0.00025	0.9717698511547219	9.499927924459877e-06
0.0005	0.9717690483864558	9.499935772173366e-06
0.001	0.9718123978728247	1.0738565492858855e-05
0.005	0.9728917198065811	7.426168414772959e-06
0.01	0.9733701696931699	6.185439475474733e-06
0.025	0.974066571164002	1.1125776074389412e-05
0.05	0.9746397477059894	7.001027503742461e-06
0.1	0.9752382114483585	6.173591515674338e-06
0.2	0.9759494641321131	8.225439557208138e-06
0.5	0.9771821148046925	5.7505588310921215e-06
