cutoff	recall_rate	FDR
0.0001	0.9749923650597158	0.00013149149608633493
0.00025	0.9749923650597158	0.00013149149608633493
0.0005	0.9749900337802396	0.0001314918104509691
0.001	0.9753443882606091	0.00011232705815434694
0.005	0.9773679388458768	0.00010255554098047867
0.01	0.9782118620162303	9.531888934430137e-05
0.025	0.9792586065010059	7.855534342967868e-05
0.05	0.9800232661691717	7.61156291551403e-05
0.1	0.9806970059377689	8.557044586956212e-05
0.2	0.9812471878941319	7.602069663465878e-05
0.5	0.9801141860687401	0.00010464629552113855
