cutoff	recall_rate	FDR
0.0001	0.9704758863939775	2.770815664999267e-05
0.00025	0.9704755460034407	2.735743968035287e-05
0.0005	0.9704762267845144	2.735742048986618e-05
0.001	0.9705739188685963	2.560120753531213e-05
0.005	0.9718657009560209	2.136444556987207e-05
0.01	0.9724246222175627	1.9251993543931472e-05
0.025	0.9732136474820291	2.0985111063700303e-05
0.05	0.9738494970049036	1.7126717084459532e-05
0.1	0.9744982813681793	1.7813886797988778e-05
0.2	0.9752256959454721	1.8149624808861762e-05
0.5	0.9761672161704567	2.0224245034163283e-05
