cutoff	recall_rate	FDR
0.0001	0.9878483597606256	5.1125309515387335e-05
0.00025	0.9878483597606256	5.1125309515387335e-05
0.0005	0.9878483597606256	5.1125309515387335e-05
0.001	0.9879070567422357	4.6977417678983964e-05
0.005	0.9884612654523217	4.280851475167609e-05
0.01	0.9886551019962434	4.28001220493803e-05
0.025	0.9888898899226838	4.002942853159633e-05
0.05	0.9890755361901018	4.416193075961281e-05
0.1	0.9892939435635347	4.553187438169784e-05
0.2	0.9895137159830516	4.965989866621789e-05
0.5	0.9896638710522867	5.378983896149751e-05
