cutoff	recall_rate	FDR
0.0001	0.9715379219490496	7.677435032347358e-05
0.00025	0.9715382641277011	7.677432328540572e-05
0.0005	0.971538948485004	7.677426920932716e-05
0.001	0.9716994302725454	6.760715734439086e-05
0.005	0.972976440999846	6.470534452079362e-05
0.01	0.9735506167770193	5.728711423015432e-05
0.025	0.9743307841023798	5.548547685202094e-05
0.05	0.9749337028862769	5.229271990580291e-05
0.1	0.9755420965285976	5.3312270310045927e-05
0.2	0.97608821365635	5.783923147435706e-05
0.5	0.9764759020684699	5.99185528162771e-05
