cutoff	recall_rate	FDR
0.0001	0.9667748972040541	0.00032375657798240626
0.00025	0.9667783568909178	0.0003237554197730492
0.0005	0.9667783568909178	0.0003237554197730492
0.001	0.9674011005263914	0.0002842320906968513
0.005	0.9700097044216528	0.0002513852934254723
0.01	0.9711012356271634	0.00021727360802416368
0.025	0.9724816506857964	0.0002009628432151921
0.05	0.9735057179974641	0.0001971990626826534
0.1	0.974337772688194	0.000197030694187062
0.2	0.9744381036072425	0.00022007862486356014
0.5	0.9720837866964661	0.0002472917989855699
