cutoff	recall_rate	FDR
0.0001	0.9879201872782472	1.2958571447083673e-05
0.00025	0.9879201872782472	1.2958571447083673e-05
0.0005	0.9879201872782472	1.2958571447083673e-05
0.001	0.9879915139544241	1.11065656462818e-05
0.005	0.9885676140312374	1.1100093240783223e-05
0.01	0.9886919784922638	1.1098697012970678e-05
0.025	0.9889151029664581	1.1096192896217308e-05
0.05	0.9890284940926881	1.109492074528281e-05
0.1	0.9891601741102455	1.1093443774729135e-05
0.2	0.9893522074691832	1.1091290564084552e-05
0.5	0.9895552141629175	1.2937160515046841e-05
