cutoff	recall_rate	FDR
0.0001	0.9698608575120468	6.843632473773095e-05
0.00025	0.9698608575120468	6.808539312119937e-05
0.0005	0.9698588151034753	6.843646884666651e-05
0.001	0.9700981173077787	6.105177471193387e-05
0.005	0.9714597230221655	4.800275262499724e-05
0.01	0.9719744099822039	4.622641839811452e-05
0.025	0.9725857709479635	4.9696988362505235e-05
0.05	0.9730068475151377	5.2124146423374006e-05
0.1	0.9734483481680276	5.7345223842185944e-05
0.2	0.9738156413094834	6.955643963304958e-05
0.5	0.9740334982237854	7.478226653867484e-05
