cutoff	recall_rate	false_positive
0.0001	0.9748410982666442	1.9918422992056974e-05
0.00025	0.9750676384160313	1.9913795392390275e-05
0.0005	0.9751927748795022	2.2123551183941843e-05
0.001	0.9753696919485474	2.2119538409472472e-05
0.005	0.975626437451186	1.990238983474382e-05
0.01	0.9757472588641924	2.211097942794474e-05
0.025	0.9758874980042892	2.2107802064426557e-05
0.05	0.975928490983702	1.768557696984167e-05
0.1	0.9757796217426763	2.211024610914944e-05
0.2	0.9753286989691344	2.212046806910434e-05
0.5	0.9734645971684639	2.2162825848947044e-05
