cutoff	recall_rate	FDR
0.0001	0.9264668388193378	8.339210873304615e-06
0.00025	0.9268014370488793	7.374338073002099e-06
0.0005	0.9269437750168636	8.014348890253108e-06
0.001	0.9271292006787055	9.294773484767629e-06
0.005	0.9274831140813555	6.4077610802203625e-06
0.01	0.9276308008665084	6.0864058203978524e-06
0.025	0.9278441592402302	6.085006256347222e-06
0.05	0.9280013550336826	5.4435605240675824e-06
0.1	0.9281448816277045	5.762876828112594e-06
0.2	0.9282976200735166	5.761928632751955e-06
0.5	0.9284880973960175	5.120666915659095e-06
