cutoff	recall_rate	false_positive
0.0001	0.9670938192240273	1.5419296941736646e-06
0.00025	0.967218333933539	1.5417311945410381e-06
0.0005	0.9672936392368963	1.5416111686645948e-06
0.001	0.967417408349345	1.5414139390062505e-06
0.005	0.9676067900033328	1.5411122515341773e-06
0.01	0.9676932792626344	1.540974512281567e-06
0.025	0.9678185395692089	1.5407750714919633e-06
0.05	0.9678901168872516	7.70331157661367e-07
0.1	0.9679698957729865	7.702676680146351e-07
0.2	0.9680474378675328	7.70205968480091e-07
0.5	0.9681562950387226	0.0
