cutoff	recall_rate	FDR
0.0001	0.9877411847027839	0.012258805011922362
0.00025	0.9877453797665363	0.012254609951689687
0.0005	0.9877487358175382	0.012251253903503546
0.001	0.9877604819960449	0.012239507734852058
0.005	0.987792364480563	0.012207625277083729
0.01	0.9878015936208182	0.012198396144571844
0.025	0.9878284420288335	0.012171547759082725
0.05	0.9878460612965935	0.01215392850610549
0.1	0.9878594855006011	0.01214050431336093
0.2	0.987883816870365	0.012116172964011417
0.5	0.9878964020616221	0.012103587783313392
