cutoff	recall_rate	false_positive
0.0001	0.9355428721937246	7.561891903918602e-06
0.00025	0.9358590492485217	7.268595538710505e-06
0.0005	0.9359964583816306	7.848926194221388e-06
0.001	0.9361904637517428	6.9753835807027175e-06
0.005	0.9365041919309004	6.973046849577433e-06
0.01	0.936648947690928	6.3909754778270914e-06
0.025	0.9368595509959305	6.099107003604572e-06
0.05	0.9369887972102409	6.098265711310424e-06
0.1	0.9370943709600354	6.678296581409016e-06
0.2	0.9371711023967418	6.3874147026092295e-06
0.5	0.9371136898678587	5.22639281916855e-06
