cutoff	recall_rate	false_positive
0.0001	0.9264031739448885	7.364996413566963e-06
0.00025	0.9267235586913707	6.722241464193821e-06
0.0005	0.9268712916578041	7.361276739837758e-06
0.001	0.9270700488616404	6.39974401023959e-06
0.005	0.9273996298369568	6.077598133217753e-06
0.01	0.9275565590322244	5.756752270638996e-06
0.025	0.9277748953039012	5.755397523708241e-06
0.05	0.9279270780584803	5.754453627415752e-06
0.1	0.928068284668967	6.392860453445592e-06
0.2	0.9282287736947511	6.072169330431476e-06
0.5	0.9284450333986266	4.473195017883194e-06
